title,platform,difficulty,subject,link,type,description
"Intro to Machine Learning","Coursera","Beginner","Machine Learning","https://www.coursera.org/learn/machine-learning","Course","A beginner course on Machine Learning concepts and algorithms."
"Python for Data Science","edX","Beginner","Data Science","https://www.edx.org/course/python-for-data-science","Course","Learn Python programming for data science applications."
"Deep Learning Specialization","Coursera","Intermediate","Deep Learning","https://www.coursera.org/specializations/deep-learning","Course","Comprehensive deep learning specialization taught by Andrew Ng."
"Cloud Computing Basics","Udemy","Beginner","Cloud Computing","https://www.udemy.com/course/cloud-computing-basics/","Course","Fundamentals of cloud computing concepts."
"Data Science Handbook","O'Reilly","Intermediate","Data Science","https://www.oreilly.com/library/view/data-science-handbook/9781491912126/","Book","Practical guide to data science techniques and best practices."
"React Native Tutorial","YouTube","Beginner","App Development","https://www.youtube.com/watch?v=0-S5a0eXPoc","Video","Step-by-step tutorial on building mobile apps with React Native."
"Prompt Engineering Guide","GitHub","Advanced","AI Tools","https://github.com/dair-ai/Prompt-Engineering-Guide","Notes","Detailed notes on prompt engineering techniques for AI models."
"Data Science Course","Udemy","Beginner","Data Science","https://www.udemy.com/course/data-science-course/","Course","Beginner friendly data science course with hands-on projects."
"Advanced Machine Learning","edX","Advanced","Machine Learning","https://www.edx.org/course/advanced-machine-learning","Course","Explore advanced topics in machine learning including reinforcement learning."
"Effective JavaScript","O'Reilly","Intermediate","Programming","https://www.oreilly.com/library/view/effective-javascript/9780132902250/","Book","Best practices for writing clean and efficient JavaScript."
"Learning Python","Packt","Beginner","Programming","https://www.packtpub.com/product/learning-python/9781788996662","Book","Comprehensive guide to Python programming for beginners."
